restaurant,item,type,serving_size,calories,fat,sodium,sugars
McDonald's,Hamburger,Burger,98,240,8,480,6
McDonald's,Cheeseburger,Burger,113,290,11,680,7
McDonald's,Big Mac,Burger,211,530,27,960,9
McDonald's,Quarter Pounder with Cheese,Burger,202,520,26,1100,10
McDonald's,Bacon Clubhouse Burger,Burger,270,720,40,1470,14
McDonald's,Double Quarter Pounder with Cheese,Burger,283,750,43,1280,10
McDonald's,Chocolate Shake,Milkshake,257,530,15,160,63
McDonald's,Premium Crispy Chicken Classic Sandwich,Breaded Chicken Sandwich,213,510,22,990,10
McDonald's,Premium Grilled Chicken Classic Sandwich,Grilled Chicken Sandwich,200,350,9,820,8
McDonald's,Chicken McNuggets (4pc),Chicken Nuggets,65,190,12,360,0
McDonald's,French Fries (Small),French Fries,75,230,11,130,0
Burger King,Hamburger,Burger,93,220,8,380,6
Burger King,Cheeseburger,Burger,104,270,12,560,7
Burger King,Whopper Sandwich,Burger,260,630,38,810,11
Burger King,Bacon & Cheese Whopper Sandwich,Burger,279,750,49,1260,8
Burger King,Double Whopper Sandwich,Burger,341,850,54,870,11
Burger King,Double Bacon King,Burger,327,1040,69,1900,10
Burger King,Chocolate Milk Shake,Milkshake,343,610,16,500,88
Burger King,TenderCrisp Chicken Sandwich,Breaded Chicken Sandwich,248,660,40,1220,7
Burger King,TenderGrill Chicken Sandwich,Grilled Chicken Sandwich,217,420,18,700,6
Burger King,Chicken Nuggets (4pc),Chicken Nuggets,58,170,11,310,0
Burger King,French Fries (Small),French Fries,128,320,14,480,0
Wendy's,Jr. Hamburger,Burger,102,250,10,600,5
Wendy's,Jr. Cheeseburger,Burger,113,290,13,800,6
Wendy's,Dave's Single Cheeseburger,Burger,247,580,31,1220,10
Wendy's,1/2 lb. Double w/ Cheese,Burger,329,820,47,1510,10
Wendy's,3/4 lb. Triple w/ Cheese,Burger,423,1090,66,1990,11
Wendy's,Baconator,Burger,295,940,56,1890,9
Wendy's,Son of Baconator,Burger,211,670,37,1670,9
Wendy's,Chocolate Frosty Shake (Small),Milkshake,342,580,13,250,93
Wendy's,Homestyle Chicken Sandwich,Breaded Chicken Sandwich,247,510,20,1200,8
Wendy's,Ultimate Chicken Grill Sandwich,Grilled Chicken Sandwich,231,370,7,880,9
Wendy's,Chicken Nuggets (4pc),Chicken Nuggets,60,180,12,350,0
Wendy's,Natural-Cut Fries (Small),French Fries,108,310,15,330,0
Chick-fil-A,Grilled Chicken Sandwich,Grilled Chicken Sandwich,193,270,3,940,7
Chick-fil-A,Chick-fil-A Chicken Sandwich,Breaded Chicken Sandwich,170,410,16,1300,5
Chick-fil-A,Chicken Nuggets (4pc),Chicken Nuggets,57,130,6,545,1
Chick-fil-A,Waffle Fries (Small),French Fries,85,280,14,105,0
Chick-fil-A,Chocolate Milkshake,Milkshake,418,560,22,380,79
Jack in the Box,Hamburger,Burger,105,280,11,680,5
Jack in the Box,Hamburger with Cheese,Burger,106,320,14,880,6
Jack in the Box,Jumbo Jack,Burger,218,490,23,910,7
Jack in the Box,Bacon Ultimate Cheeseburger�,Burger,284,910,56,2190,7
Jack in the Box,Big Cheeseburger,Burger,181,560,30,1170,6
Jack in the Box,Jr. Jack with Cheese,Burger,153,470,19,920,6
Jack in the Box,Sirloin Cheeseburger,Burger,370,1030,71,1990,9
Jack in the Box,Sourdough Jack,Burger,223,660,41,1450,8
